date,candidate_id,proposal_hash,source,expected_direction,stage,dev_ic,dev_t,blend_dev_gain,virgin_ic,virgin_t,virgin_n,holdout_ic,holdout_t,holdout_n,holdout_p_onesided,fresh_ic,fresh_t,fresh_n,family_n,bh_threshold,verdict,reasons,expression,canonical,lookback,n_nodes,coverage,screen_pass,blend_by_tier,mechanism_tag,cluster_id,cluster_rep,redundant_with,max_corr,corr_with,residual_dev_ic,residual_dev_t,residual_vs,model_dev_t,model_holdout_t
2026-09-02,corr_ret_vol_20,75fa00c522c2,cc-miner:cc_20260902_volprice,negative,screen,0.0008818498778149,0.0856206257060604,,,,,,,,,,,,,,screen_fail,,"ts_corr(returns, volume, 20)","ts_corr(returns, volume, 20)",21.0,3.0,0.9998556285032646,False,,,,,,,,,,,,
2026-09-02,corr_close_vol_20,1c4756eec555,cc-miner:cc_20260902_volprice,negative,screen,-0.0017619288457216,-0.1502562256474827,,,,,,,,,,,,,,screen_fail,,"ts_corr(close, volume, 20)","ts_corr(close, volume, 20)",20.0,3.0,0.9998628470781014,False,,,,,,,,,,,,
2026-09-02,vwret_minus_ret_20,ff1ebb2bb20f,cc-miner:cc_20260902_volprice,negative,screen,0.0010372429225974,0.1005938644440867,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * volume, 20) / ts_sum(volume, 20) - ts_mean(returns, 20)","sub(div(ts_sum(mul(returns, volume), 20), ts_sum(volume, 20)), ts_mean(returns, 20))",21.0,10.0,0.9998556285032646,False,,,,,,,,,,,,
2026-09-02,llorente_vr_20,3d17e08a1685,cc-miner:cc_20260902_volprice,negative,screen,-0.0047625612333242,-0.4391594592846477,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * ts_zscore(log(volume), 60), 20)","ts_sum(mul(returns, ts_zscore(log(volume), 60)), 20)",80.0,6.0,0.999436951162732,False,,,,,,,,,,,,
2026-09-02,quietday_ret_20,09e78ccc30a3,cc-miner:cc_20260902_volprice,positive,screen,0.0114492037830726,0.9519503898512496,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * lt(volume, ts_mean(volume, 60)), 20)","ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 20)",80.0,7.0,0.999436951162732,False,,,,,,,,,,,,
2026-09-02,loudday_ret_20,1cc1a85f931a,cc-miner:cc_20260902_volprice,negative,screen,-0.0040502278155937,-0.4373345031113428,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * gt(volume, 1.5 * ts_mean(volume, 60)), 20)","ts_sum(mul(returns, gt(volume, mul(1.5, ts_mean(volume, 60)))), 20)",80.0,8.0,0.999436951162732,False,,,,,,,,,,,,
2026-09-02,vwap_over_ma_20,e9aac8b094cd,cc-miner:cc_20260902_volprice,negative,screen,-0.0044692815248498,-0.3162008298850718,,,,,,,,,,,,,,screen_fail,,"(ts_sum(typical * volume, 20) / ts_sum(volume, 20)) / ts_mean(typical, 20) - 1","sub(div(div(ts_sum(mul(typical, volume), 20), ts_sum(volume, 20)), ts_mean(typical, 20)), 1)",20.0,11.0,0.9998628470781014,False,,,,,,,,,,,,
2026-09-02,mom_x_volexp_20,59f146884775,cc-miner:cc_20260902_volprice,negative,screen,0.0010872758108934,0.083776039625966,,,,,,,,,,,,,,screen_fail,,"sign(ts_sum(returns, 20)) * log(ts_mean(volume, 5) / ts_mean(volume, 60))","mul(sign(ts_sum(returns, 20)), log(div(ts_mean(volume, 5), ts_mean(volume, 60))))",60.0,10.0,0.9995741040846304,False,,,,,,,,,,,,
2026-09-02,quietday_ret_5,9b8da2f629d1,cc-miner:cc_20260902_volprice,positive,screen,0.0049707499130939,0.7009895550635503,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * lt(volume, ts_mean(volume, 60)), 5)","ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 5)",65.0,7.0,0.9995452297852836,False,,,,,,,,,,,,
2026-09-02,quietday_ret_10,202c27ef6366,cc-miner:cc_20260902_volprice,positive,screen,0.0063027235950572,0.6754329081702473,,,,,,,,,,,,,,screen_fail,,"ts_sum(returns * lt(volume, ts_mean(volume, 60)), 10)","ts_sum(mul(returns, lt(volume, ts_mean(volume, 60))), 10)",70.0,7.0,0.9995091369110995,False,,,,,,,,,,,,
